127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 12:53:50, GET, /myapp/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 12:55:22, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.176000
127.0.0.1, 2013-02-23 12:55:47, GET, /admin/default/edit/myapp/views/layout.html, HTTP/1.1, 200, 0.108000
127.0.0.1, 2013-02-23 13:00:31, GET, /admin/default/design/myapp, HTTP/1.1, 200, 0.184000
127.0.0.1, 2013-02-23 13:34:52, GET, /admin/default/edit/myapp/views/layout.html, HTTP/1.1, 200, 0.131000
127.0.0.1, 2013-02-23 13:39:17, GET, /admin/default/index, HTTP/1.1, 303, 0.009000
127.0.0.1, 2013-02-23 13:39:17, GET, /admin/default/site, HTTP/1.1, 200, 0.075000
127.0.0.1, 2013-02-23 13:39:18, GET, /admin/default/twitter.load, HTTP/1.1, 200, 0.597000
127.0.0.1, 2013-02-23 14:59:13, GET, /, HTTP/1.1, 303, 0.004000
127.0.0.1, 2013-02-23 14:59:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.315000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.006000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.039000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.023000
03000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.014000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 14:59:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/default/index, HTTP/1.1, 200, 0.200000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/static/js/web2py.js, HTTP/1.1, 304, 0.012000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/static/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.011000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/static/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.012000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2013-02-23 14:59:15, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.004000
